Time,Error,Actual Speed,Torque,Target Speed
54.9,1.16579,87.3488,143.838,88.5146
55,1.16275,87.3519,143.834,88.5146
55.1,1.15973,87.3549,143.83,88.5146
55.2,1.15671,87.3579,143.826,88.5146
55.3,1.1537,87.3609,143.821,88.5146
55.4,1.15069,87.3639,143.817,88.5146
55.5,1.1477,87.3669,143.813,88.5146
55.6,1.14471,87.3699,143.809,88.5146
55.7,1.14173,87.3729,143.805,88.5146
55.8,1.13876,87.3759,143.8,88.5146
55.9,1.13579,87.3788,143.796,88.5146
56,1.13284,87.3818,143.792,88.5146
56.1,1.12989,87.3847,143.788,88.5146
56.2,1.12695,87.3877,143.784,88.5146
56.3,1.12401,87.3906,143.78,88.5146
56.4,1.12109,87.3935,143.775,88.5146
56.5,1.11817,87.3965,143.771,88.5146
56.6,1.11526,87.3994,143.767,88.5146
56.7,1.11236,87.4023,143.763,88.5146
56.8,1.10946,87.4052,143.759,88.5146
56.9,1.10657,87.4081,143.755,88.5146
57,1.10369,87.4109,143.751,88.5146
57.1,1.10082,87.4138,143.747,88.5146
57.2,1.09795,87.4167,143.743,88.5146
57.3,1.09509,87.4195,143.739,88.5146
57.4,1.09224,87.4224,143.735,88.5146
57.5,1.0894,87.4252,143.731,88.5146
57.6,1.08657,87.4281,143.727,88.5146
57.7,1.08374,87.4309,143.723,88.5146
57.8,1.08092,87.4337,143.719,88.5146
57.9,1.0781,87.4365,143.715,88.5146
58,1.0753,87.4393,143.711,88.5146
58.1,1.0725,87.4421,143.707,88.5146
58.2,1.06971,87.4449,143.703,88.5146
58.3,1.06692,87.4477,143.699,88.5146
58.4,1.06414,87.4505,143.695,88.5146
58.5,1.06137,87.4533,143.691,88.5146
58.6,1.05861,87.456,143.688,88.5146
58.7,1.05586,87.4588,143.684,88.5146
58.8,1.05311,87.4615,143.68,88.5146
58.9,1.05037,87.4643,143.676,88.5146
59,1.04763,87.467,143.672,88.5146
59.1,1.04491,87.4697,143.668,88.5146
59.2,1.04219,87.4724,143.665,88.5146
59.3,1.03947,87.4752,143.661,88.5146
59.4,1.03677,87.4779,143.657,88.5146
59.5,1.03407,87.4806,143.653,88.5146
59.6,1.03138,87.4833,143.649,88.5146
59.7,1.02869,87.4859,143.646,88.5146
59.8,1.02601,87.4886,143.642,88.5146
59.9,1.02334,87.4913,143.638,88.5146
60,1.02068,87.4939,143.634,88.5146
60.1,1.01802,87.4966,143.631,88.5146
60.2,1.01537,87.4993,143.627,88.5146
60.3,1.01273,87.5019,143.623,88.5146
60.4,1.0101,87.5045,143.619,88.5146
60.5,1.00747,87.5072,143.616,88.5146
60.6,1.00484,87.5098,143.612,88.5146
60.7,1.00223,87.5124,143.608,88.5146
60.8,0.99962,87.515,143.605,88.5146
60.9,0.997018,87.5176,143.601,88.5146
